"Numéro CAS";"Nom SA";"Propriété";"Valeur";"Unité";"Température";"PH";"Observation"
"112-30-1";"1-decanol";"Pression de vapeur";"1,387";"Pa";25,300000000000001;"";""
"112-30-1";"1-decanol";"Solubilité dans l'eau";"0,00975";"g/L";;"7";""
"112-30-1";"1-decanol";"Solubilité dans l'eau";"0,00875";"g/L";20;"4";""
"112-30-1";"1-decanol";"Solubilité dans l'eau";"0,01014";"g/L";;"9";""
"3100-04-7 ";"1-methylcyclopropene";"Log P";"2,4";"";26;"";"N1"
"3100-04-7 ";"1-methylcyclopropene";"Log P";"2,7";"";20;"";"N2"
"3100-04-7 ";"1-methylcyclopropene";"pka";"";"";;"";""
"3100-04-7 ";"1-methylcyclopropene";"Pression de vapeur";"2 x 10^5";"Pa";25;"";"N1"
"3100-04-7 ";"1-methylcyclopropene";"Pression de vapeur";"2,07 x 10^5";"Pa";25;"";"N2"
"3100-04-7 ";"1-methylcyclopropene";"Solubilité dans l'eau";"137";"mg/L";20;"7";"N1"
"3100-04-7 ";"1-methylcyclopropene";"Solubilité dans l'eau";"92";"mg/L";20;"7";"N2"
"86-86-2";"1-naphthylacetamide";"Constante de Henry";"1,02x10^-8";"Pa.m3/mol";20;"";""
"86-86-2";"1-naphthylacetamide";"Log P";"1,58";"";25;"7";""
"86-86-2";"1-naphthylacetamide";"pka";"0,41";"";;"";""
"86-86-2";"1-naphthylacetamide";"Pression de vapeur";"9,4x10^-7";"Pa";20;"";""
"86-86-2";"1-naphthylacetamide";"Solubilité dans l'eau";"164";"mg/L";20;"7";""
"86-86-2";"1-naphthylacetamide";"Solubilité dans l'eau";"154";"mg/L";20;"9";""
"86-86-2";"1-naphthylacetamide";"Solubilité dans l'eau";"152";"mg/L";20;"4";""
"571-58-4";"1,4-dimethylnaphthalene";"Constante de Henry";"76,7";"Pa.m3/mol";25;"";""
"571-58-4";"1,4-dimethylnaphthalene";"Log P";"4,37";"";22,5;"";""
"571-58-4";"1,4-dimethylnaphthalene";"pka";"";"";;"";""
"571-58-4";"1,4-dimethylnaphthalene";"Pression de vapeur";"2,5";"Pa";24,8;"";""
"571-58-4";"1,4-dimethylnaphthalene";"Solubilité dans l'eau";"5,1";"mg/L";25;"";""
"94-75-7";"2,4-D";"Constante de Henry";"4,0 x10^-6";"Pa.m3/mol";20;"";""
"94-75-7";"2,4-D";"Log P";"1,54";"";25;"4";""
"94-75-7";"2,4-D";"Log P";"-1,07";"";25;"10";""
"94-75-7";"2,4-D";"Log P";"-0,82";"";25;"7";""
"94-75-7";"2,4-D";"pka";"3,4";"";20;"";""
"94-75-7";"2,4-D";"Pression de vapeur";"23";"µPa";25;"";""
"94-75-7";"2,4-D";"Solubilité dans l'eau";"26,5";"g/L";20;"10";""
"94-75-7";"2,4-D";"Solubilité dans l'eau";"3,39";"g/L";20;"4";""
"94-75-7";"2,4-D";"Solubilité dans l'eau";"547";"mg/L";20;"";""
"94-75-7";"2,4-D";"Solubilité dans l'eau";"24,3";"g/L";20;"7";""
"1928-43-4";"2,4-D ethylhexyl ester";"Constante de Henry";"1.82";"Pa.m3/mol";;"";""
"1928-43-4";"2,4-D ethylhexyl ester";"Log P";"5,78";"";25;"";""
"1928-43-4";"2,4-D ethylhexyl ester";"pka";"";"";;"";""
"1928-43-4";"2,4-D ethylhexyl ester";"Pression de vapeur";"0.48";"mPa";25;"";""
"1928-43-4";"2,4-D ethylhexyl ester";"Solubilité dans l'eau";"86.7";"ug/L";;"";""
"94-82-6";"2,4-DB";"Constante de Henry";"4.6x10^-6";"Pa.m3/mol";;"";""
"94-82-6";"2,4-DB";"Log P";"+1,35";"";20;"7";""
"94-82-6";"2,4-DB";"Log P";"+2,94";"";20;"5";""
"94-82-6";"2,4-DB";"Log P";"-0,25";"";20;"9";""
"94-82-6";"2,4-DB";"pka";"+4,1";"";;"";""
"94-82-6";"2,4-DB";"Pression de vapeur";"9x10^-7";"Pa";20;"";""
"94-82-6";"2,4-DB";"Solubilité dans l'eau";"0,062";"g/L";20;"5";""
"94-82-6";"2,4-DB";"Solubilité dans l'eau";"4.385";"g/L";20;"7";""
"94-82-6";"2,4-DB";"Solubilité dans l'eau";"454.8";"g/L";20;"9";""
"1214-39-7";"6-benzyladenine";"Constante de Henry";"8.9";"Pa.m3/mol";;"";""
"1214-39-7";"6-benzyladenine";"Log P";"2,13";"";;"";""
"1214-39-7";"6-benzyladenine";"Pression de vapeur";"2.37 e-9";"Pa";20;"";""
"1214-39-7";"6-benzyladenine";"Solubilité dans l'eau";"60";"mg/L";20;"";""
"37338-40-2";"8-dodecenylacetate";"Pression de vapeur";"69";"mPa";20;"";""
"37338-40-2";"8-dodecenylacetate";"Solubilité dans l'eau";"0.05";"g/L";20;"";""
