numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
2190686;REVYSTAR XL;H362;Peut être nocif pour les bébés nourris au lait maternel;
2190686;REVYSTAR XL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2190509;REVYSTAR;H315;Provoque une irritation cutanée;
2190509;REVYSTAR;H317;Peut provoquer une allergie cutanée;
2190509;REVYSTAR;H319;Provoque une sévère irritation des yeux;
2190509;REVYSTAR;H332;Nocif par inhalation;
2190509;REVYSTAR;H335;Peut irriter les voies respiratoires;
2190509;REVYSTAR;H400;Très toxique pour les organismes aquatiques;
2190509;REVYSTAR;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9900411;RETRIEVE 20;H226;Liquides et vapeurs inflammables;
9900411;RETRIEVE 20;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9900411;RETRIEVE 20;H315;Provoque une irritation cutanée;
9900411;RETRIEVE 20;H317;Peut provoquer une allergie cutanée;
9900411;RETRIEVE 20;H319;Provoque une sévère irritation des yeux;
9900411;RETRIEVE 20;H335;Peut irriter les voies respiratoires;
9900411;RETRIEVE 20;H336;Peut provoquer somnolence ou des vertiges;
9900411;RETRIEVE 20;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900411;RETRIEVE 20;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2170700;REDIGO PRO;H400;Très toxique pour les organismes aquatiques;
2170700;REDIGO PRO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2060127;REDIGO;H317;Peut provoquer une allergie cutanée;
2060127;REDIGO;H400;Très toxique pour les organismes aquatiques;
2060127;REDIGO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2060127;REDIGO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090186;ROXY 800 EC;H319;Provoque une sévère irritation des yeux;
2090186;ROXY 800 EC;H400;Très toxique pour les organismes aquatiques;
2090186;ROXY 800 EC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090186;ROXY 800 EC;EUH208;Contient du prosulfocarbe. Peut produire une réaction allergique.;
2210192;ROXY 800;H315;Provoque une irritation cutanée;
2210192;ROXY 800;H317;Peut provoquer une allergie cutanée;
2210192;ROXY 800;H400;Très toxique pour les organismes aquatiques;
2210192;ROXY 800;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160749;ROTATE SC;H361d;Susceptible de nuire au foetus;
2160749;ROTATE SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190311;RUBIN PLUS;H315;Provoque une irritation cutanée;
2190311;RUBIN PLUS;H362;Peut être nocif pour les bébés nourris au lait maternel;
2190311;RUBIN PLUS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190311;RUBIN PLUS;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one et de la 2-methyl-2H-isothiazol-3-one. Peut produire une réaction allergique.;
2171035;SEXTAN 25 EW;H302;Nocif en cas d'ingestion;
2171035;SEXTAN 25 EW;H318;Provoque des lésions oculaires graves;
2171035;SEXTAN 25 EW;H332;Nocif par inhalation;
2171035;SEXTAN 25 EW;H335;Peut irriter les voies respiratoires;
2171035;SEXTAN 25 EW;H361d;Susceptible de nuire au foetus;
2171035;SEXTAN 25 EW;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2190321;SESTO;H317;Peut provoquer une allergie cutanée;
2190321;SESTO;H319;Provoque une sévère irritation des yeux;
2190321;SESTO;H351;Susceptible de provoquer le cancer;
2190321;SESTO;H400;Très toxique pour les organismes aquatiques;
2160305;SEMPRA;H400;Très toxique pour les organismes aquatiques;
2160305;SEMPRA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160305;SEMPRA;EUH208;Contient de la 1,2-benzisothiazole-3(2H)-one. Peut déclencher une réaction allergique.;
2190956;TESORO 250;H302;Nocif en cas d'ingestion;
2190956;TESORO 250;H318;Provoque des lésions oculaires graves;
2190956;TESORO 250;H332;Nocif par inhalation;
2190956;TESORO 250;H361d;Susceptible de nuire au foetus;
2190956;TESORO 250;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2200063;TENSTAR;H302;Nocif en cas d'ingestion;
2200063;TENSTAR;H318;Provoque des lésions oculaires graves;
2200063;TENSTAR;H332;Nocif par inhalation;
2200063;TENSTAR;H335;Peut irriter les voies respiratoires;
2200063;TENSTAR;H361d;Susceptible de nuire au foetus;
2200063;TENSTAR;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2170995;TEBUCUR 250 EW;H302;Nocif en cas d'ingestion;
2170995;TEBUCUR 250 EW;H318;Provoque des lésions oculaires graves;
2170995;TEBUCUR 250 EW;H332;Nocif par inhalation;
2170995;TEBUCUR 250 EW;H335;Peut irriter les voies respiratoires;
2170995;TEBUCUR 250 EW;H361d;Susceptible de nuire au foetus;
2170995;TEBUCUR 250 EW;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2030255;TEBUCUR 250;H318;Provoque des lésions oculaires graves;
2030255;TEBUCUR 250;H361f;Susceptible de nuire à la fertilité;
2030255;TEBUCUR 250;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2110148;THORE;H302;Nocif en cas d'ingestion;
2110148;THORE;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2110148;THORE;H319;Provoque une sévère irritation des yeux;
2110148;THORE;H335;Peut irriter les voies respiratoires;
2110148;THORE;H400;Très toxique pour les organismes aquatiques;
2110148;THORE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110148;THORE;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2210113;TOMIGAN 200;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2210113;TOMIGAN 200;H318;Provoque des lésions oculaires graves;
2210113;TOMIGAN 200;H336;Peut provoquer somnolence ou des vertiges;
2210113;TOMIGAN 200;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2210113;TOMIGAN 200;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9900412;TOMIGAN 20;H226;Liquides et vapeurs inflammables;
9900412;TOMIGAN 20;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9900412;TOMIGAN 20;H315;Provoque une irritation cutanée;
9900412;TOMIGAN 20;H317;Peut provoquer une allergie cutanée;
9900412;TOMIGAN 20;H319;Provoque une sévère irritation des yeux;
9900412;TOMIGAN 20;H335;Peut irriter les voies respiratoires;
9900412;TOMIGAN 20;H336;Peut provoquer somnolence ou des vertiges;
9900412;TOMIGAN 20;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900412;TOMIGAN 20;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9900412;TOMIGAN 20;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9000619;TOLURGAN 50 SC;H351;Susceptible de provoquer le cancer;
9000619;TOLURGAN 50 SC;H361d;Susceptible de nuire au foetus;
9000619;TOLURGAN 50 SC;H400;Très toxique pour les organismes aquatiques;
9000619;TOLURGAN 50 SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9000619;TOLURGAN 50 SC;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2130091;TOISEAU;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130091;TOISEAU;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090039;ETHOFOL 500 SC;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090039;ETHOFOL 500 SC;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique.;
2180223;DICAGARD 480 SL;H319;Provoque une sévère irritation des yeux;
2180223;DICAGARD 480 SL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2160208;TRINITY;H351;Susceptible de provoquer le cancer;
2160208;TRINITY;H361d;Susceptible de nuire au foetus;
2160208;TRINITY;H400;Très toxique pour les organismes aquatiques;
2160208;TRINITY;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170211;TRIBENSTAR;H317;Peut provoquer une allergie cutanée;
2170211;TRIBENSTAR;H400;Très toxique pour les organismes aquatiques;
2170211;TRIBENSTAR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190882;TRACIAFIN PLUS;H319;Provoque une sévère irritation des yeux;
2190882;TRACIAFIN PLUS;H335;Peut irriter les voies respiratoires;
2190882;TRACIAFIN PLUS;H400;Très toxique pour les organismes aquatiques;
2190882;TRACIAFIN PLUS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170035;TURBAN;H317;Peut provoquer une allergie cutanée;
2170035;TURBAN;H400;Très toxique pour les organismes aquatiques;
2170035;TURBAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9000490;STRATOS ULTRA;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9000490;STRATOS ULTRA;H315;Provoque une irritation cutanée;
9000490;STRATOS ULTRA;H319;Provoque une sévère irritation des yeux;
9000490;STRATOS ULTRA;H336;Peut provoquer somnolence ou des vertiges;
9000490;STRATOS ULTRA;H361d;Susceptible de nuire au foetus;
9000490;STRATOS ULTRA;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9000490;STRATOS ULTRA;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2210421;WEINTEC;H315;Provoque une irritation cutanée;
2210421;WEINTEC;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210475;MOSKISAN;H400;Très toxique pour les organismes aquatiques;
2210475;MOSKISAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210140;TRIBECA SYNC TEC;H351;Susceptible de provoquer le cancer;
2210140;TRIBECA SYNC TEC;H400;Très toxique pour les organismes aquatiques;
2210140;TRIBECA SYNC TEC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210140;TRIBECA SYNC TEC;EUH208;Contient de la 1,2-benzisothiazolin-3(2H)-one et du métazachlore. Peut produire une réaction allergique;
2130266;SOLEIL;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2130266;SOLEIL;H318;Provoque des lésions oculaires graves;
2130266;SOLEIL;H336;Peut provoquer somnolence ou des vertiges;
2130266;SOLEIL;H361d;Susceptible de nuire au foetus;
2130266;SOLEIL;H400;Très toxique pour les organismes aquatiques;
2130266;SOLEIL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170687;SCAB 80 WG;H317;Peut provoquer une allergie cutanée;
2170687;SCAB 80 WG;H319;Provoque une sévère irritation des yeux;
2170687;SCAB 80 WG;H351;Susceptible de provoquer le cancer;
2170687;SCAB 80 WG;H400;Très toxique pour les organismes aquatiques;
2140184;PROLECTUS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8600031;STABILAN;H290;Peut être corrosif pour les métaux;
8600031;STABILAN;H301;Toxique en cas d'ingestion;
8600031;STABILAN;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800293;KERRIN 3C;H290;Peut être corrosif pour les métaux;
9800293;KERRIN 3C;H301;Toxique en cas d'ingestion;
9800293;KERRIN 3C;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9100296;CHARDOL 600;H318;Provoque des lésions oculaires graves;
9100296;CHARDOL 600;H400;Très toxique pour les organismes aquatiques;
9100296;CHARDOL 600;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9100296;CHARDOL 600;EUH208;Contient du 2,4-D. Peut produire une réaction allergique;
2000517;CHAMP FLO AMPLI;H302;Nocif en cas d'ingestion;
2000517;CHAMP FLO AMPLI;H319;Provoque une sévère irritation des yeux;
2000517;CHAMP FLO AMPLI;H332;Nocif par inhalation;
2000517;CHAMP FLO AMPLI;H400;Très toxique pour les organismes aquatiques;
2000517;CHAMP FLO AMPLI;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200521;ZONOR;H302;Nocif en cas d'ingestion;
2200521;ZONOR;H318;Provoque des lésions oculaires graves;
2200521;ZONOR;H332;Nocif par inhalation;
2200521;ZONOR;H335;Peut irriter les voies respiratoires;
2200521;ZONOR;H361d;Susceptible de nuire au foetus;
2200521;ZONOR;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2200904;WASAN;H302;Nocif en cas d'ingestion;
2200904;WASAN;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2200904;WASAN;H318;Provoque des lésions oculaires graves;
2200904;WASAN;H361d;Susceptible de nuire au foetus;
2200904;WASAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150051;VARIANO XPRO;H317;Peut provoquer une allergie cutanée;
2150051;VARIANO XPRO;H319;Provoque une sévère irritation des yeux;
2150051;VARIANO XPRO;H332;Nocif par inhalation;
2150051;VARIANO XPRO;H351;Susceptible de provoquer le cancer;
2150051;VARIANO XPRO;H400;Très toxique pour les organismes aquatiques;
2150051;VARIANO XPRO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160005;VERIGAL D+;H302;Nocif en cas d'ingestion;
2160005;VERIGAL D+;H319;Provoque une sévère irritation des yeux;
2160005;VERIGAL D+;H400;Très toxique pour les organismes aquatiques;
2160005;VERIGAL D+;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170781;ZOXIS 250 SC;H317;Peut provoquer une allergie cutanée;
2170781;ZOXIS 250 SC;H332;Nocif par inhalation;
2170781;ZOXIS 250 SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2080094;HAUBAN;H317;Peut provoquer une allergie cutanée;
2080094;HAUBAN;H400;Très toxique pour les organismes aquatiques;
2080094;HAUBAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130068;COMPIL;H400;Très toxique pour les organismes aquatiques;
2130068;COMPIL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130068;COMPIL;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2130068;COMPIL;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2200518;PREPARE;H319;Provoque une sévère irritation des yeux;
2200518;PREPARE;H335;Peut irriter les voies respiratoires;
2200518;PREPARE;H400;Très toxique pour les organismes aquatiques;
2200518;PREPARE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210843;INSECTICIDE ACARICIDE BIO MASSÓ;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2170691;TAVAS;H400;Très toxique pour les organismes aquatiques;
2170691;TAVAS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
